"yearsdeveloper","yearsflossdeveloper","projects","volunteer[1]","volunteer[2]","volunteer[3]","volunteer[4]","volunteer[other]","licensefamiliar","licensesigned","licensewilling","licensenonprofit","licensenonprofit[other]","assignmentfamiliar","assignmentsigned","assignmentwilling","assignmentnonprofit","assignmentnonprofit[other]","dcofamiliar","dcosigned","dcowilling","dcononprofit","dcononprofit[other]","othersigned","othersigneddetails","othersame","othernopolicy","obstacledecline","obstaclereason[1]","obstaclereason[2]","obstaclereason[3]","obstaclereason[4]","obstaclereason[other]","developercomments"
"15.0000000000","8.0000000000","openais
corosync
libqb
openstack","Yes","No","Yes","No","","5","Yes","2","I would be more likely to sign with a non-profit entity","","3","Yes","2","I would only sign with a non-profit entity","","2","I don't know","3","I would only contribute to a non-profit entity","","No","","I don't know","No","Yes","No","Yes","Yes","No","",""
"19.0000000000","5.0000000000","parrot","Yes","No","Yes","No","","3","Yes","3","I would be more likely to sign with a non-profit entity","","2","No","3","I would be more likely to sign with a non-profit entity","","1","No","3","I am unsure if non-profit/for-profit status would affect my decision","","No","","No","Yes","No","No","No","No","No","",""
"12.0000000000","10.0000000000","KDE, Gnome, OpenStack","Yes","No","Yes","No","","4","Yes","2","I would be more likely to sign with a non-profit entity","","4","No","2","I would be more likely to sign with a non-profit entity","","4","Yes","4","I would be more likely to contribute to a non-profit entity","","No","","Yes","Yes","Yes","No","No","No","Yes","",""
"20.0000000000","20.0000000000","Linux Kernel
Openstack
OpenMPI
Linux Standard Base","Yes","No","Yes","No","","5","Yes","4","I would only sign with a non-profit entity","","5","No","4","I would only sign with a non-profit entity","","3","Yes","4","I would only contribute to a non-profit entity","","No","","","","No","No","No","No","No","",""
"33.0000000000","23.0000000000","have taught free classes with free software examples for Emacs, LaTeX, Mathematica, Perl 5, Perl 6, pro, etc.","Yes","No","No","Yes","","3","No","5","I would be equally willing to sign with either","","3","No","5","I would be equally willing to sign with either","","2","No","5","I would be equally willing to contribute to either","","No","","No","No","No","No","No","No","No","","I wrote a free and open TeX/LaTeX previewer for BBN BitGraph terminals in the early 1980s.  The first sentence in the documentation was something like ""Do not contact me about this project"" and lots of people contacted me.  That turned me off on doing any free software projects from then on except for free classes I've taught at Purdue University campuses at West Lafayette, Indiana and Indianapolis, Indiana compuses."
"16.0000000000","8.0000000000","Cpan","Yes","No","Yes","No","","4","Yes","2","I would be more likely to sign with a non-profit entity","","4","Yes","3","I would only sign with a non-profit entity","","1","No","2","I would only contribute to a non-profit entity","","No","","Yes","Yes","Yes","Yes","No","No","No","","My employers restrictions on my contributions are much more restrictive than the survey seems to account for. The primary driver of my contributions or lack of its due to my day job's restrictions and review requirements on any contributions. "
"34.0000000000","29.0000000000","emacs, linux kernel, binutils, gcc, perl, ...","Yes","No","Yes","Yes","","5","Yes","5","I would be more likely to sign with a non-profit entity","","5","Yes","5","I would be more likely to sign with a non-profit entity","","","Yes","","I would be more likely to contribute to a non-profit entity","","No","","Yes","Yes","Yes","No","No","Yes","No","","The details matter to me. If the assignment means ""Our commercial company can take [anonymized]'s contribution to a GPL-with-proprietary-avialable project and license it to people on commercial terms"" then I don't want to sign it. Pure GPL? Great. BSD? OK if the organization is non-profit.
"
"10.0000000000","5.0000000000","OpenStack
Sugar
Gnome","Yes","No","Yes","No","","4","Yes","2","I would be more likely to sign with a non-profit entity","","4","No","2","I would only sign with a non-profit entity","","4","No","5","I would be equally willing to contribute to either","","Yes","OpenStack Individual CLA","","Yes","Yes","Yes","Yes","No","No","","They seem to make the barrier higher for first-time/drive-by contributors, which is when we need to make it as easy as possible to contribute to give people a chance to get a taste for the community, and hopefully want to stick around."
"7.0000000000","2.0000000000","Contributed in Nova & Tempest","No","No","Yes","No","","5","Yes","4","I would be equally willing to sign with either","","5","Yes","4","I would be equally willing to sign with either","","3","No","3","I would be equally willing to contribute to either","","Yes","Individual & company LA for OpenStack ","I don't know","No","No","No","No","No","No","NA",""
"15.0000000000","4.0000000000","Openstack
Cloudstack","No","No","Yes","No","","4","Yes","3","I would be more likely to sign with a non-profit entity","","1","I don't know","","","","4","Yes","2","I would be more likely to contribute to a non-profit entity","","No","","I don't know","No","No","No","No","No","No","",""
"10.0000000000","4.0000000000","openstack
subversion
jclouds
emacs orgmode","Yes","No","No","No","","4","Yes","5","","","","Yes","5","I would only sign with a non-profit entity","","1","No","4","I would only contribute to a non-profit entity","","No","","Yes","No","No","No","No","No","No","",""
"7.0000000000","4.0000000000","exercism.io
git-hub
Various Perl modules on CPAN
","Yes","No","No","No","","2","No","3","I am unsure if non-profit/for-profit status would affect my decision","","1","","","","","1","No","3","I am unsure if non-profit/for-profit status would affect my decision","","No","","I don't know","Yes","No","No","No","No","No","",""
"15.0000000000","15.0000000000","","Yes","No","Yes","No","","3","Yes","5","I would only sign with a non-profit entity","","3","No","3","I would only sign with a non-profit entity","","5","No","2","I would only contribute to a non-profit entity","","Yes","","Yes","Yes","No","No","No","No","No","",""
"5.0000000000","4.0000000000","Debian, SILPA, FalconPL, pbr (openstack)","Yes","No","No","No","","5","No","3","I would only sign with a non-profit entity","","3","I don't know","","I am unsure if non-profit/for-profit status would affect my decision","","1","","","","","I don't know","","Yes","No","N/A","No","No","No","No","",""
"2.0000000000","2.0000000000","OpenStack","No","No","Yes","No","","2","Yes","3","I am unsure if non-profit/for-profit status would affect my decision","","1","I don't know","3","I am unsure if non-profit/for-profit status would affect my decision","","1","I don't know","3","I am unsure if non-profit/for-profit status would affect my decision","","","","","","N/A","No","No","No","No","",""
"32.0000000000","25.0000000000","perl5 (CORE & CPAN), tcsh, claws-mail, libreoffice, xterm, grep, elvis, git, openssl, bitlbee, hexchat, zlib, di, wget, gcc, sqlite, ccache, postgres, lsof, tar, rsync, bison, gftp","Yes","No","No","No","","2","Yes","2","Other","I would only sign if my boss/the company would urge me to do so in order to help our own project forward in helping the ""project"". Now the boss/company will back me up in case of trouble","1","I don't know","","","","1","I don't know","","","","I don't know","","I don't know","I don't know","No","No","No","No","No","Previous answer was No, but I won't ever contribute again to projects that will publish my code with my name attached to it but ALSO restyling the code (layout) for consistency",""
"35.0000000000","20.0000000000","Iptables
Dancer::SimpleCrud
","Yes","No","No","No","","4","No","4","I am unsure if non-profit/for-profit status would affect my decision","","1","No","","","","1","I don't know","","","","No","","I don't know","I don't know","N/A","No","No","No","No","",""
"8.0000000000","6.0000000000","PHP, FreeBSD, PowerDNS","Yes","No","Yes","No","","4","No","2","I would be more likely to sign with a non-profit entity","","4","No","2","I would be more likely to sign with a non-profit entity","","1","I don't know","","I am unsure if non-profit/for-profit status would affect my decision","","No","","","Yes","No","No","No","No","No","",""
"16.0000000000","14.0000000000","Kernel patch (I can't remember if it got accepted or not)
Knoppix-Freevo
TinyERP - OpenErp (now know as odoo)
Tryton (declined being mentionned as contributor)
A-responsive-1 (redmine)","Yes","No","Yes","No","","4","Yes","3","Other","I all depends on the content of the licence agreement","4","Yes","5","Other","again, it depends on the type of copyright assignment more than the other party's quality","1","I don't know","","","","No","","Yes","Yes","No","Yes","No","No","No","","Although there has to be structure in contribution policies the general feeling I get is that a lot of project owners/maintainer are often making it overly difficult to contribute to their project(s) which in the end discourages eventual contributors.
There are exceptions thou, Django for example is one of the projects I consider to be the most open in that matter"
"20.0000000000","15.0000000000","Debian","Yes","No","No","No","","4","Yes","2","I would be more likely to sign with a non-profit entity","","4","Yes","2","I would be more likely to sign with a non-profit entity","","2","No","3","I would be more likely to contribute to a non-profit entity","","No","","Yes","Yes","No","No","No","No","No","",""
"33.0000000000","20.0000000000","perl5, perl6, and many others","Yes","No","Yes","Yes","","2","No","5","I would be more likely to sign with a non-profit entity","","3","No","5","I would be more likely to sign with a non-profit entity","","2","No","5","I would be more likely to contribute to a non-profit entity","","No","","Yes","Yes","No","No","No","No","No","",""
"20.0000000000","13.0000000000","Projects at the Apache Software Foundation
Self-owned projects","Yes","No","Yes","No","","5","Yes","2","I would only sign with a non-profit entity","","5","No","1","I would not sign with either","","4","No","5","I would be equally willing to contribute to either","","No","","No","Yes","No","No","No","No","No","","Would love to see the members of the TodoGroup answering these in public :)"
"15.0000000000","6.0000000000","Perl, SDL, Perl 6, Rakudo, Parrot, MoarVM","Yes","No","No","No","","4","Yes","5","I would be more likely to sign with a non-profit entity","","1","No","4","","","2","No","4","I would be equally willing to contribute to either","","Yes","Perl CLA as a requirement to work on rakudo","I don't know","Yes","No","No","No","No","No","",""
"15.0000000000","15.0000000000","Xen, KVM, libvirt, openstack, QEMU, GTK-VNC, SPICE, GNOME, systemd, selinux","Yes","No","Yes","No","","5","Yes","2","I would not sign with either","","5","No","1","I would not sign with either","","5","Yes","5","I would be equally willing to contribute to either","","No","","Yes","Yes","Yes","Yes","Yes","Yes","No","","Contributor agreements discourage growth of many communities which is ultimately harmful to their long term success. eg many canonical funded projects which are now dead & dieing due to CLA."
"4.0000000000","3.0000000000","Perl, GNOME","Yes","Yes","Yes","No","","1","No","3","I am unsure if non-profit/for-profit status would affect my decision","","1","I don't know","","","","1","No","","","","No","","I don't know","Yes","Yes","Yes","No","Yes","No","",""
"30.0000000000","24.0000000000","Perl, Linux, DGD, Angband, bits and pieces elsewhere.","Yes","No","Yes","No","","2","I don't know","2","I would be equally willing to sign with either","","1","I don't know","2","I am unsure if non-profit/for-profit status would affect my decision","","1","No","3","I am unsure if non-profit/for-profit status would affect my decision","","No","","I don't know","Yes","No","No","No","No","No","",""
"17.0000000000","12.0000000000","Parrot
Perl 5
Grackle","Yes","No","No","No","","5","No","3","I would be more likely to sign with a non-profit entity","","5","No","3","I would only sign with a non-profit entity","","1","I don't know","","","","No","","Yes","I don't know","No","No","No","No","No","",""
"2.0000000000","2.0000000000","Debian, GNOME, OpenStack","Yes","No","Yes","No","","","Yes","2","I would be more likely to sign with a non-profit entity","","4","Yes","2","I would be more likely to sign with a non-profit entity","","2","No","4","I would be more likely to contribute to a non-profit entity","","I don't know","","I don't know","Yes","No","No","No","No","No","",""
"35.0000000000","13.0000000000","perl5","Yes","Yes","No","Yes","","3","No","2","I am unsure if non-profit/for-profit status would affect my decision","","2","No","2","I am unsure if non-profit/for-profit status would affect my decision","","1","No","","","","No","","I don't know","Yes","No","No","No","No","No","",""
"10.0000000000","1.0000000000","Openstack tempest","No","No","Yes","No","","4","Yes","5","I would be equally willing to sign with either","","2","I don't know","","I am unsure if non-profit/for-profit status would affect my decision","","1","","","","","No","","I don't know","No","No","No","No","No","No","",""
"14.0000000000","8.0000000000","Among others:

OpenStack Swift
Fog
Graphite
Thor
Test::Resub","Yes","No","Yes","No","","5","Yes","4","I would be more likely to sign with a non-profit entity","","3","No","2","I would only sign with a non-profit entity","","1","No","","","","No","","","Yes","Yes","Yes","No","No","No","",""
"20.0000000000","2.0000000000","Parrot","Yes","No","No","No","","5","Yes","5","I am unsure if non-profit/for-profit status would affect my decision","","5","Yes","5","I would be more likely to sign with a non-profit entity","","1","No","","I am unsure if non-profit/for-profit status would affect my decision","","No","","No","Yes","No","No","No","No","No","",""
"35.0000000000","35.0000000000","Lots","Yes","No","Yes","Yes","","5","Yes","3","I would be more likely to sign with a non-profit entity","","5","Yes","3","I would be more likely to sign with a non-profit entity","","1","I don't know","","","","No","","Yes","Yes","Yes","Yes","Yes","No","No","",""
"18.0000000000","14.0000000000","Zope, python, mitmproxy, others","Yes","No","Yes","No","","5","No","1","I would not sign with either","","2","No","1","I would not sign with either","","1","No","3","I would only contribute to a non-profit entity","","No","","Yes","No","No","No","No","No","No","",""
"6.0000000000","3.0000000000","Django
Django-ses 
Django-oauth-toolkit","Yes","No","Yes","No","","4","Yes","5","I would be more likely to sign with a non-profit entity","","3","Yes","5","I would be more likely to sign with a non-profit entity","","1","No","","","","No","","Yes","No","Yes","Yes","No","No","No","",""
"15.0000000000","9.0000000000","","Yes","Yes","No","No","","4","Yes","3","I would only sign with a non-profit entity","","4","Yes","3","I would only sign with a non-profit entity","","4","Yes","3","I would only contribute to a non-profit entity","","No","","Yes","No","Yes","Yes","No","Yes","No","",""
"15.0000000000","10.0000000000","MySQL, OpenStack, Drizzle, various Python libs, habari, MySQL forge","Yes","No","Yes","No","","4","Yes","3","I would be more likely to sign with a non-profit entity","","4","Yes","1","I would not sign with either","","3","No","3","I would be more likely to contribute to a non-profit entity","","No","","Yes","Yes","No","No","No","No","No","","I personally find the legal arguments surrounding CLAs to be mostly theoretical and pointless. I don't know of a single legal case that has been decided based on whether someone or some group signed or did not sign a particular CLA. Therefore, I view the whole concept of CLAs as decidedly a make-work effort for and by lawyers with nothing better to do with their time."
"17.0000000000","16.0000000000","Perl
Apache httpd
Apache APR
mod_perl
MySQL
OpenOffice","Yes","No","Yes","No","","3","Yes","5","I am unsure if non-profit/for-profit status would affect my decision","","1","No","3","I would be more likely to sign with a non-profit entity","","1","No","3","I would be more likely to contribute to a non-profit entity","","No","","I don't know","Yes","No","No","No","No","No","",""
"40.0000000000","10.0000000000","Sugar Labs","Yes","Yes","Yes","Yes","","5","Yes","4","I am unsure if non-profit/for-profit status would affect my decision","","4","Yes","2","I am unsure if non-profit/for-profit status would affect my decision","","1","","","","","I don't know","","Yes","No","Yes","No","No","Yes","No","",""
"14.0000000000","14.0000000000","OpenStack, libvirt, KVM, Fedora, GNOME","Yes","No","Yes","No","","5","Yes","3","I would be more likely to sign with a non-profit entity","","","No","2","I would only sign with a non-profit entity","","5","Yes","5","I would be equally willing to contribute to either","","Yes","OpenStack CLA, kernel DCO, qemu DCO","Yes","Yes","Yes","Yes","Yes","Yes","No","",""
"26.0000000000","25.0000000000","Ooh, too many to remember, let alone list.","Yes","No","Yes","No","","3","No","","Other","I'm not sure what you're asking","2","No","3","I would be more likely to sign with a non-profit entity","","1","I don't know","","Other","I don't know what a DCO is, so can't answer","No","","I don't know","Yes","No","No","No","No","No","",""
"17.0000000000","17.0000000000","Linux kernel
Samba
PHP
MySQL
Juju
irssi
Ubuntu
Debian
pipemeter
OpenStack
ACID
Snort","Yes","No","Yes","Yes","","5","Yes","4","I would be more likely to sign with a non-profit entity","","5","Yes","2","I would be equally willing to sign with either","","","","5","I would be equally willing to contribute to either","","No","","Yes","Yes","No","No","No","No","No","","Most OSS contribution starts because consumption has very low barriers. These make it less like a ramp, and more like a set of steep stairs, when ramping up from ""user"" to ""developer""."
"30.0000000000","28.0000000000","perl
dist
parrot
gnuplot
groff
dt3155 (Linux device driver)
visual python

pax
","Yes","No","No","No","","4","No","2","I would not sign with either","","3","Yes","2","I am unsure if non-profit/for-profit status would affect my decision","","1","No","","I am unsure if non-profit/for-profit status would affect my decision","","No","","Yes","Yes","Yes","Yes","No","No","No","","Complex agreemnts make it harder for the casual contributor to contribute.  They are usually sufficiently complicated that I'd have
to ask our company lawyer if I can sign it; that's a sufficiently large barrier that I've simply decided not to bother signing anything."
"8.0000000000","4.0000000000","CPython, Gunicorn, Django, pip, GNU MediaGoblin, Hylang, Mozilla Firefox","Yes","No","No","No","","4","Yes","5","I would be more likely to sign with a non-profit entity","","","","","","","1","No","","","","No","","I don't know","Yes","No","No","No","No","No","",""
"32.0000000000","24.0000000000","clisp, perl5, parrot, cygwin, and numerous others","Yes","No","No","No","","4","Yes","2","I am unsure if non-profit/for-profit status would affect my decision","","4","Yes","2","I am unsure if non-profit/for-profit status would affect my decision","","1","Yes","5","I am unsure if non-profit/for-profit status would affect my decision","","No","","Yes","Yes","No","No","No","No","No","",""
"15.0000000000","15.0000000000","perl, chef","Yes","Yes","Yes","No","","4","Yes","4","I would be equally willing to sign with either","","4","Yes","4","I would be equally willing to sign with either","","1","I don't know","","","","No","","Yes","Yes","Yes","No","Yes","Yes","Yes","",""
"20.0000000000","14.0000000000","Perl, CPAN, MongoDB, Chef","Yes","Yes","Yes","No","","5","Yes","3","I would be more likely to sign with a non-profit entity","","3","No","2","I would be more likely to sign with a non-profit entity","","2","No","4","I would be equally willing to contribute to either","","No","","Yes","Yes","N/A","No","No","No","No","","I think CLA's are a barrier to contribution. I prefer software licenses like Apache 2 that explicitly cover contributions as part of the original license.  Using commit records to track contributions seems more practical as it's nearly transparent, even though the projects I contribute to don't require an explicit ""Signed off by"" note."
"16.0000000000","15.0000000000","Perl

A bazillion Perl modules

Random other things I can no longer remember but probably including mod_perl, the Apache web server (I think), some Go and JS stuff

Bug reports for dozens, if not hundreds of projects
","Yes","Yes","Yes","Yes","","3","I don't know","2","I would be more likely to sign with a non-profit entity","","3","I don't know","2","I would be more likely to sign with a non-profit entity","","1","No","5","I would be equally willing to contribute to either","","I don't know","","Yes","Yes","No","No","No","No","No","","Personally, I'd be somewhat suspicious of a for-profit company asking me to sign a contribution agreement. I'm not really willing to see my work resold for private benefit.

With a non-profit (at least under US law) it's likely that use of my contribution would be constrained by the organization's declared purpose, so I'd be more willing to sign."
"35.0000000000","20.0000000000","Exim, OpenVPN, Linux, Asterisk, many others","Yes","No","Yes","No","","5","Yes","4","I would be more likely to sign with a non-profit entity","","5","Yes","1","I would not sign with either","","5","Yes","5","I would be equally willing to contribute to either","","No","","Yes","No","Yes","No","No","Yes","No","",""
"16.0000000000","16.0000000000","Linux
qemu
Angband
hal","Yes","No","Yes","No","","3","No","3","I would be more likely to sign with a non-profit entity","","3","No","2","I would be more likely to sign with a non-profit entity","","5","Yes","5","I would be equally willing to contribute to either","","No","","Yes","Yes","No","No","No","No","No","",""
"23.0000000000","16.0000000000","Linux","Yes","No","No","No","","5","No","","I would be more likely to sign with a non-profit entity","","5","Yes","2","I would be more likely to sign with a non-profit entity","","5","Yes","5","I would be equally willing to contribute to either","","No","","Yes","I don't know","Yes","Yes","Yes","Yes","No","",""
"32.0000000000","20.0000000000","OpenJDK, Debian","Yes","No","No","Yes","","5","Yes","2","I would be more likely to sign with a non-profit entity","","5","Yes","2","I would be more likely to sign with a non-profit entity","","5","No","5","I would be more likely to contribute to a non-profit entity","","","","Yes","Yes","Yes","No","No","Yes","No","","inbound=outbound is probably the best approach"
"18.0000000000","5.0000000000","Linux kernel
(listing others would identify me)","Yes","No","Yes","Yes","","2","No","1","I would not sign with either","","2","No","1","I would not sign with either","","5","Yes","5","I would be equally willing to contribute to either","","Yes","Copyright assignment to the company paying for development.","","Yes","Yes","Yes","Yes","No","No","Employer unwilling to let me sign copyright license/assigment agreement","Low bar for contribution and mutual fairness (no one way agreements to the benefit of the recipient) are important.
"
"5.0000000000","5.0000000000","Linux, CRIU","Yes","No","Yes","No","","5","Yes","3","I am unsure if non-profit/for-profit status would affect my decision","","5","Yes","3","I am unsure if non-profit/for-profit status would affect my decision","","5","Yes","5","I would be equally willing to contribute to either","","No","","Yes","No","Yes","Yes","No","No","No","",""
"25.0000000000","17.0000000000","many","Yes","No","Yes","Yes","","5","Yes","1","I would only sign with a non-profit entity","","5","Yes","1","I would only sign with a non-profit entity","","4","No","3","I would be more likely to contribute to a non-profit entity","","No","","Yes","Yes","Yes","No","Yes","Yes","No","",""
"18.0000000000","18.0000000000","Perl, MySQL, various smaller pieces of GNU and Linux software","Yes","No","Yes","No","","4","No","2","I would be more likely to sign with a non-profit entity","","4","No","2","I would be more likely to sign with a non-profit entity","","4","Yes","5","I would be equally willing to contribute to either","","No","","Yes","Yes","No","No","No","No","No","","I feel uneasy about contributor assignments in particular, and to a lesser degree about licence assignments. That unease tends to be reduced in the face of non-profit organisations with a track record of standing up for the rights of individuals over those of organisations and commercial companies. I think I would be very unwilling to assign copyright in a work to a for-profit company (other than an employer) whose incentives were not clearly aligned with those of the project's wider user base."
"30.0000000000","27.0000000000","nethack, perl, Linux, GCC, dungeon crawl, git, many others","Yes","No","No","No","","5","No","2","I would only sign with a non-profit entity","","5","No","1","I would not sign with either","","4","Yes","5","I would be equally willing to contribute to either","","No","","Yes","No","No","No","Yes","No","No","",""
"10.0000000000","10.0000000000","If I told you it'd identify who I am because that unique combination of projects points only to me, and I'd prefer to be anonymous.","Yes","No","Yes","Yes","","5","No","1","Other","It depends on who owns and runs the non-profit. A non-profit run as a puppet for a for-profit is the same as the for profit for example. The real issue is what the CLA says and what powers it grants them. Ideally they should not use a CLA at all. Whatever concerns they have should be incorporated into the project's license itself and a CLA not used at all. Secondarily, if a CLA is used it should legally bind the project and entity doing the CLA to keep the software free software at all times (refer to FSF's copyright assignment.) As easy way to do that is not having a CLA at all and simply having a DCO-style thing with everyone keeping their copyright and not granting extra permissions to anyone else that would let them take the software proprietary. If these legal assurances were not presnt I would not agree to a CLA no matter if it's a for-profit or non-profit. This question focuses on the wrong issue.","5","Yes","","Other","See my other answer to CLA - The answer is the same. I have assigned copyright previously - to the FSF because they've been around for 30 years and have shown themselves to good a good copyright steward. Plus, their CAA obligates the FSF to keep the software free so they can't abuse the trust given. So this question, just like the one on the last page, focuses on the wrong issue. It does affect my decision based on what powers are granted, not necessarily by who gets those powers.","5","Yes","3","Other","I am fine contributing to a kernel.org-style DCO because I retain the copyright and no one gets the power to make it proprietary.","No","","Yes","Yes","Yes","No","No","No","No","I declined because their policy specifically allowed my contributions to be able to made proprietary. See my previous answers on CLA & CAA. The policy should legally bind the project to keep the software free at all times.","Some of your questions don't focus on the right issues, IMO."
"27.0000000000","16.0000000000","Far more than I can list or remember. I touched pretty much everything I ever used.","Yes","No","Yes","Yes","","5","Yes","1","Other","I would only sign for the GNU project.","5","Yes","1","Other","I would only sign to the GNU project.","5","Yes","5","I would be more likely to contribute to a non-profit entity","","No","","Yes","Yes","Yes","Yes","Yes","Yes","No","I only contribute to FLOSS projects. Copyleft and non-copyleft (but copyleft strongly preferred)",""
"30.0000000000","20.0000000000","mostly Debian","Yes","No","No","No","","3","Yes","2","I would be more likely to sign with a non-profit entity","","3","No","1","I would not sign with either","","3","No","4","I would be equally willing to contribute to either","","I don't know","","I don't know","Yes","No","No","No","No","No","",""
"30.0000000000","23.0000000000","Linux, Debian, lots of others.","Yes","No","Yes","Yes","My own startup. My own savings.","4","No","2","Other","I might sign for some non-profits. I would sign for sufficient money.","4","No","2","Other","Would only sign for money.","4","Yes","5","I would be more likely to contribute to a non-profit entity","","Yes","Contracting contracts. Employment contracts.","Yes","Yes","Yes","Yes","Yes","Yes","No","",""
"21.0000000000","18.0000000000","Linux kernel
Debian
Boost
dvdauthor
Asterisk","Yes","No","Yes","No","","3","Yes","3","I would be more likely to sign with a non-profit entity","","3","No","2","I would be more likely to sign with a non-profit entity","","5","Yes","5","I would be equally willing to contribute to either","","No","","Yes","Yes","No","No","No","No","No","",""
"7.0000000000","7.0000000000","Debian, Ubuntu, Linux, offlineimap","Yes","No","Yes","No","","4","Yes","5","I am unsure if non-profit/for-profit status would affect my decision","","4","No","1","I am unsure if non-profit/for-profit status would affect my decision","","5","Yes","5","I would be equally willing to contribute to either","","Yes","Evil British employment contacts","Yes","Yes","No","No","No","No","No","","Change of license and/or policy to a more strict one, always drives away existing contributors and has unknown effect on future contributions. For example, I have never declined to sign things, but then again I haven't developed any submitable code for projects I wouldn't sign things for. E.g. I disagree with FSF copyright assignment and the treatment that GPL2->3 are ""continuiations in spirit of the license"" and for example changes to GPL3 drove out Apple contributions to gcc of objc improvements and C. objectives ( see N1451 Blocks proposal), a net loss for gcc I think. Instead they invest in llvm/clang toolchain, which maybe is a more significant impact over they previous gcc efforts. A net win for total # of opensourced code?!"
"10.0000000000","8.0000000000","UnrealIRCd, BIND, Perl, various Perl modules, Cassandra, ...
","Yes","No","Yes","No","","3","No","2","I would not sign with either","","2","No","2","I would not sign with either","","1","No","2","I would not contribute to either","","No","","Yes","Yes","Yes","Yes","Yes","No","No","","I'm not sure I currently understand the need to sign a document to provide a patch to a project.

I'm equally sure though that if I did understand, I would still find the practice distasteful and almost a 100% blocker to contributing to a project that required it."
"14.0000000000","12.0000000000","KDE, Debian, Gentoo, other miscellaneous","Yes","No","No","No","","2","No","2","I would be more likely to sign with a non-profit entity","","1","No","1","I would not sign with either","","3","Yes","5","I would be equally willing to contribute to either","","No","","Yes","Yes","Yes","Yes","Yes","Yes","No","",""
"20.0000000000","17.0000000000","Small build fixes to a large number of projects, plus several of my own.","Yes","No","Yes","No","","4","No","1","I would not sign with either","","4","No","1","I would not sign with either","","5","Yes","5","I would be equally willing to contribute to either","","No","","Yes","Yes","Yes","No","Yes","No","No","","Some of my distaste for copyright license/assignment agreements comes from my experience in academia, where copyright assignment on publication (to unethical and abusive publishers) is the norm."
"6.0000000000","6.0000000000","Ubuntu
Mozilla
GNOME
Python
Linux Kernel
Many More","Yes","No","No","No","","5","Yes","2","I would be more likely to sign with a non-profit entity","","5","No","2","I would only sign with a non-profit entity","","1","I don't know","3","I am unsure if non-profit/for-profit status would affect my decision","","I don't know","","Yes","Yes","Yes","Yes","Yes","Yes","No","","CLA's are a joke if you are not getting paid"
"31.0000000000","13.0000000000","PHP, EPICS, Bazaar plugins","Yes","No","Yes","No","","3","No","4","I would be more likely to sign with a non-profit entity","","3","No","2","I would be more likely to sign with a non-profit entity","","3","No","5","I would be equally willing to contribute to either","","No","","Yes","Yes","No","No","No","No","No","",""
"12.0000000000","11.0000000000","Mozilla, Mercurial, mypy, libvpx","Yes","No","Yes","No","","4","No","4","I would be more likely to sign with a non-profit entity","","4","No","2","I would be more likely to sign with a non-profit entity","","4","No","5","I would be equally willing to contribute to either","","No","","Yes","I don't know","No","No","No","No","No","",""

